(E: 1,C: 23) Reloj 12.88156 | Camiones en Cola: 1
(E: 1,C: 23) Reloj 14.28718 | Camiones en Cola: 2
(E: 1,C: 23) Reloj 16.36658 | Camiones en Cola: 3
(E: 1,C: 24) Reloj 8.55854 | Camiones en Cola: 1
(E: 1,C: 24) Reloj 9.37494 | Camiones en Cola: 2
(E: 1,C: 24) Reloj 10.19708 | Camiones en Cola: 4
(E: 1,C: 24) Reloj 13.85518 | Camiones en Cola: 6
(E: 1,C: 24) Reloj 14.70071 | Camiones en Cola: 8
(E: 1,C: 24) Reloj 14.94447 | Camiones en Cola: 9
(E: 1,C: 24) Reloj 14.99946 | Camiones en Cola: 11
(E: 1,C: 25) Reloj 16.83952 | Camiones en Cola: 1
(E: 1,C: 26) Reloj 4.24662 | Camiones en Cola: 1
(E: 1,C: 26) Reloj 10.11210 | Camiones en Cola: 2
(E: 1,C: 26) Reloj 16.81999 | Camiones en Cola: 3
(E: 1,C: 27) Reloj 4.56004 | Camiones en Cola: 1
(E: 1,C: 27) Reloj 7.18803 | Camiones en Cola: 2
(E: 1,C: 27) Reloj 13.65253 | Camiones en Cola: 4
(E: 1,C: 27) Reloj 14.89183 | Camiones en Cola: 6
(E: 1,C: 28) Reloj 2.22231 | Camiones en Cola: 1
(E: 1,C: 28) Reloj 26.32404 | Camiones en Cola: 2
(E: 1,C: 29) Reloj 12.72793 | Camiones en Cola: 1
(E: 1,C: 29) Reloj 29.24142 | Camiones en Cola: 2
(E: 1,C: 30) Reloj 7.11277 | Camiones en Cola: 1
(E: 1,C: 30) Reloj 9.70880 | Camiones en Cola: 2
(E: 1,C: 30) Reloj 12.30621 | Camiones en Cola: 3
(E: 1,C: 31) Reloj 2.63977 | Camiones en Cola: 1
(E: 1,C: 31) Reloj 10.22807 | Camiones en Cola: 2
(E: 1,C: 31) Reloj 11.40787 | Camiones en Cola: 3
(E: 1,C: 31) Reloj 17.36882 | Camiones en Cola: 5
(E: 1,C: 32) Reloj 20.30113 | Camiones en Cola: 1
(E: 1,C: 33) Reloj 23.97786 | Camiones en Cola: 1
(E: 1,C: 34) Reloj 7.01114 | Camiones en Cola: 1
(E: 1,C: 34) Reloj 9.55768 | Camiones en Cola: 2
(E: 1,C: 34) Reloj 13.05172 | Camiones en Cola: 3
(E: 1,C: 34) Reloj 16.55775 | Camiones en Cola: 5
(E: 1,C: 35) Reloj 1.74773 | Camiones en Cola: 1
(E: 1,C: 35) Reloj 2.33893 | Camiones en Cola: 2
(E: 1,C: 35) Reloj 2.42233 | Camiones en Cola: 3
(E: 1,C: 36) Reloj 13.62056 | Camiones en Cola: 1
(E: 1,C: 36) Reloj 14.13050 | Camiones en Cola: 2
(E: 1,C: 37) Reloj 31.62304 | Camiones en Cola: 1
(E: 1,C: 38) Reloj 11.34343 | Camiones en Cola: 1
(E: 1,C: 38) Reloj 14.33654 | Camiones en Cola: 2
(E: 1,C: 38) Reloj 15.86697 | Camiones en Cola: 3
(E: 1,C: 39) Reloj 34.87537 | Camiones en Cola: 1
(E: 1,C: 40) Reloj 4.67765 | Camiones en Cola: 1
(E: 1,C: 40) Reloj 10.04044 | Camiones en Cola: 2
(E: 1,C: 40) Reloj 15.31527 | Camiones en Cola: 3
(E: 1,C: 41) Reloj 17.92507 | Camiones en Cola: 1
(E: 1,C: 42) Reloj 2.27324 | Camiones en Cola: 1
(E: 1,C: 42) Reloj 10.98768 | Camiones en Cola: 2
(E: 1,C: 42) Reloj 11.86439 | Camiones en Cola: 3
(E: 1,C: 43) Reloj 7.08395 | Camiones en Cola: 1
(E: 1,C: 43) Reloj 14.15435 | Camiones en Cola: 2
(E: 1,C: 43) Reloj 16.25277 | Camiones en Cola: 3
